Function,Derivative
- 180 x^{9},- 1620 x^{8}
8 x^{3} e^{- 7 x},- 56 x^{3} e^{- 7 x} + 24 x^{2} e^{- 7 x}
- \frac{7 \sin{\left(5 x^{2} \right)}}{2 x},- 35 \cos{\left(5 x^{2} \right)} + \frac{7 \sin{\left(5 x^{2} \right)}}{2 x^{2}}
\frac{5 x}{2},\frac{5}{2}
\frac{2 x^{2}}{3 \log{\left(2 x^{2} \right)}},\frac{4 x}{3 \log{\left(2 x^{2} \right)}} - \frac{4 x}{3 \log{\left(2 x^{2} \right)}^{2}}
\frac{\sin{\left(4 x^{2} \right)}}{35 x^{5} \cos{\left(3 x^{3} \right)}},\frac{9 \sin{\left(4 x^{2} \right)} \sin{\left(3 x^{3} \right)}}{35 x^{3} \cos^{2}{\left(3 x^{3} \right)}} + \frac{8 \cos{\left(4 x^{2} \right)}}{35 x^{4} \cos{\left(3 x^{3} \right)}} - \frac{\sin{\left(4 x^{2} \right)}}{7 x^{6} \cos{\left(3 x^{3} \right)}}
\frac{2 \sin{\left(7 x \right)}}{x},\frac{14 \cos{\left(7 x \right)}}{x} - \frac{2 \sin{\left(7 x \right)}}{x^{2}}
0,0
\frac{40 x^{2} e^{- 6 x^{3}}}{\log{\left(4 x \right)}},- \frac{720 x^{4} e^{- 6 x^{3}}}{\log{\left(4 x \right)}} + \frac{80 x e^{- 6 x^{3}}}{\log{\left(4 x \right)}} - \frac{40 x e^{- 6 x^{3}}}{\log{\left(4 x \right)}^{2}}
- \frac{\sin{\left(4 x \right)}}{3 x^{2} \cos{\left(10 x \right)}},- \frac{10 \sin{\left(4 x \right)} \sin{\left(10 x \right)}}{3 x^{2} \cos^{2}{\left(10 x \right)}} - \frac{4 \cos{\left(4 x \right)}}{3 x^{2} \cos{\left(10 x \right)}} + \frac{2 \sin{\left(4 x \right)}}{3 x^{3} \cos{\left(10 x \right)}}
- 8 x^{2} e^{- 3 x^{3}} \log{\left(- 5 x \right)},72 x^{4} e^{- 3 x^{3}} \log{\left(- 5 x \right)} - 16 x e^{- 3 x^{3}} \log{\left(- 5 x \right)} - 8 x e^{- 3 x^{3}}
- \frac{4 x^{2}}{\log{\left(5 x^{2} \right)}},- \frac{8 x}{\log{\left(5 x^{2} \right)}} + \frac{8 x}{\log{\left(5 x^{2} \right)}^{2}}
\cos{\left(8 x^{2} \right)},- 16 x \sin{\left(8 x^{2} \right)}
\frac{\log{\left(- 10 x^{2} \right)} \sin{\left(10 x^{3} \right)}}{7 x \log{\left(- 4 x^{3} \right)}},\frac{30 x \log{\left(- 10 x^{2} \right)} \cos{\left(10 x^{3} \right)}}{7 \log{\left(- 4 x^{3} \right)}} - \frac{\log{\left(- 10 x^{2} \right)} \sin{\left(10 x^{3} \right)}}{7 x^{2} \log{\left(- 4 x^{3} \right)}} - \frac{3 \log{\left(- 10 x^{2} \right)} \sin{\left(10 x^{3} \right)}}{7 x^{2} \log{\left(- 4 x^{3} \right)}^{2}} + \frac{2 \sin{\left(10 x^{3} \right)}}{7 x^{2} \log{\left(- 4 x^{3} \right)}}
8,0
- \frac{1}{30 x^{3}},\frac{1}{10 x^{4}}
2 x^{2} \log{\left(x \right)} \sin{\left(10 x^{2} \right)},40 x^{3} \log{\left(x \right)} \cos{\left(10 x^{2} \right)} + 4 x \log{\left(x \right)} \sin{\left(10 x^{2} \right)} + 2 x \sin{\left(10 x^{2} \right)}
- \frac{10 x^{3} e^{6 x^{3}} \log{\left(- 7 x^{2} \right)}}{\log{\left(3 x \right)}},- \frac{180 x^{5} e^{6 x^{3}} \log{\left(- 7 x^{2} \right)}}{\log{\left(3 x \right)}} - \frac{30 x^{2} e^{6 x^{3}} \log{\left(- 7 x^{2} \right)}}{\log{\left(3 x \right)}} - \frac{20 x^{2} e^{6 x^{3}}}{\log{\left(3 x \right)}} + \frac{10 x^{2} e^{6 x^{3}} \log{\left(- 7 x^{2} \right)}}{\log{\left(3 x \right)}^{2}}
- \frac{7 e^{- 10 x^{2}}}{3 x},\frac{140 e^{- 10 x^{2}}}{3} + \frac{7 e^{- 10 x^{2}}}{3 x^{2}}
- \frac{\sin{\left(3 x \right)} \sin{\left(3 x^{3} \right)}}{6 x^{2}},- \frac{3 \sin{\left(3 x \right)} \cos{\left(3 x^{3} \right)}}{2} - \frac{\sin{\left(3 x^{3} \right)} \cos{\left(3 x \right)}}{2 x^{2}} + \frac{\sin{\left(3 x \right)} \sin{\left(3 x^{3} \right)}}{3 x^{3}}
- \frac{81 x^{4}}{2},- 162 x^{3}
\frac{e^{10 x^{2}} \log{\left(- 6 x^{3} \right)} \sin{\left(5 x^{2} \right)}}{\sin{\left(4 x \right)}},\frac{20 x e^{10 x^{2}} \log{\left(- 6 x^{3} \right)} \sin{\left(5 x^{2} \right)}}{\sin{\left(4 x \right)}} + \frac{10 x e^{10 x^{2}} \log{\left(- 6 x^{3} \right)} \cos{\left(5 x^{2} \right)}}{\sin{\left(4 x \right)}} - \frac{4 e^{10 x^{2}} \log{\left(- 6 x^{3} \right)} \sin{\left(5 x^{2} \right)} \cos{\left(4 x \right)}}{\sin^{2}{\left(4 x \right)}} + \frac{3 e^{10 x^{2}} \sin{\left(5 x^{2} \right)}}{x \sin{\left(4 x \right)}}
\frac{\log{\left(9 x^{3} \right)}}{\log{\left(- 10 x^{3} \right)}},\frac{3}{x \log{\left(- 10 x^{3} \right)}} - \frac{3 \log{\left(9 x^{3} \right)}}{x \log{\left(- 10 x^{3} \right)}^{2}}
\frac{e^{- 3 x^{3}}}{\log{\left(- 4 x^{3} \right)}},- \frac{9 x^{2} e^{- 3 x^{3}}}{\log{\left(- 4 x^{3} \right)}} - \frac{3 e^{- 3 x^{3}}}{x \log{\left(- 4 x^{3} \right)}^{2}}
- 6 x^{2} \sin{\left(10 x \right)} \sin{\left(4 x^{3} \right)} \cos{\left(9 x^{2} \right)},- 72 x^{4} \sin{\left(10 x \right)} \cos{\left(9 x^{2} \right)} \cos{\left(4 x^{3} \right)} + 108 x^{3} \sin{\left(10 x \right)} \sin{\left(9 x^{2} \right)} \sin{\left(4 x^{3} \right)} - 60 x^{2} \sin{\left(4 x^{3} \right)} \cos{\left(10 x \right)} \cos{\left(9 x^{2} \right)} - 12 x \sin{\left(10 x \right)} \sin{\left(4 x^{3} \right)} \cos{\left(9 x^{2} \right)}
\frac{x \cos{\left(8 x^{2} \right)}}{\log{\left(- 7 x^{2} \right)}},- \frac{16 x^{2} \sin{\left(8 x^{2} \right)}}{\log{\left(- 7 x^{2} \right)}} + \frac{\cos{\left(8 x^{2} \right)}}{\log{\left(- 7 x^{2} \right)}} - \frac{2 \cos{\left(8 x^{2} \right)}}{\log{\left(- 7 x^{2} \right)}^{2}}
\frac{\sin{\left(x \right)} \cos{\left(10 x^{2} \right)}}{7 x^{2}},- \frac{20 \sin{\left(x \right)} \sin{\left(10 x^{2} \right)}}{7 x} + \frac{\cos{\left(x \right)} \cos{\left(10 x^{2} \right)}}{7 x^{2}} - \frac{2 \sin{\left(x \right)} \cos{\left(10 x^{2} \right)}}{7 x^{3}}
- 6 x^{3} \sin{\left(7 x \right)},- 42 x^{3} \cos{\left(7 x \right)} - 18 x^{2} \sin{\left(7 x \right)}
0,0
- 4 \sin{\left(2 x^{2} \right)},- 16 x \cos{\left(2 x^{2} \right)}
2 x e^{- 2 x},- 4 x e^{- 2 x} + 2 e^{- 2 x}
\frac{5}{3 x},- \frac{5}{3 x^{2}}
\frac{7 x \log{\left(x^{3} \right)}}{15},\frac{7 \log{\left(x^{3} \right)}}{15} + \frac{7}{5}
3 x e^{- 7 x},- 21 x e^{- 7 x} + 3 e^{- 7 x}
- 280 x^{6},- 1680 x^{5}
- \frac{\log{\left(9 x^{3} \right)} \cos{\left(x^{3} \right)}}{7 x^{3}},\frac{3 \log{\left(9 x^{3} \right)} \sin{\left(x^{3} \right)}}{7 x} + \frac{3 \log{\left(9 x^{3} \right)} \cos{\left(x^{3} \right)}}{7 x^{4}} - \frac{3 \cos{\left(x^{3} \right)}}{7 x^{4}}
\frac{\log{\left(- 4 x \right)}}{5 x \log{\left(3 x \right)}},- \frac{\log{\left(- 4 x \right)}}{5 x^{2} \log{\left(3 x \right)}} - \frac{\log{\left(- 4 x \right)}}{5 x^{2} \log{\left(3 x \right)}^{2}} + \frac{1}{5 x^{2} \log{\left(3 x \right)}}
- \frac{e^{2 x} e^{9 x^{3}}}{x \log{\left(- 10 x^{3} \right)}},- \frac{27 x e^{2 x} e^{9 x^{3}}}{\log{\left(- 10 x^{3} \right)}} - \frac{2 e^{2 x} e^{9 x^{3}}}{x \log{\left(- 10 x^{3} \right)}} + \frac{e^{2 x} e^{9 x^{3}}}{x^{2} \log{\left(- 10 x^{3} \right)}} + \frac{3 e^{2 x} e^{9 x^{3}}}{x^{2} \log{\left(- 10 x^{3} \right)}^{2}}
- \frac{3 x}{2},- \frac{3}{2}
\frac{7 x}{9},\frac{7}{9}
0,0
- \frac{\sin{\left(x^{3} \right)}}{\sin{\left(2 x \right)}},- \frac{3 x^{2} \cos{\left(x^{3} \right)}}{\sin{\left(2 x \right)}} + \frac{2 \sin{\left(x^{3} \right)} \cos{\left(2 x \right)}}{\sin^{2}{\left(2 x \right)}}
- \frac{2 x^{2}}{\cos{\left(2 x^{3} \right)}},- \frac{12 x^{4} \sin{\left(2 x^{3} \right)}}{\cos^{2}{\left(2 x^{3} \right)}} - \frac{4 x}{\cos{\left(2 x^{3} \right)}}
\frac{\log{\left(- 6 x^{2} \right)}}{\cos{\left(10 x^{2} \right)}},\frac{20 x \log{\left(- 6 x^{2} \right)} \sin{\left(10 x^{2} \right)}}{\cos^{2}{\left(10 x^{2} \right)}} + \frac{2}{x \cos{\left(10 x^{2} \right)}}
\frac{5 x^{2} e^{5 x} e^{x^{3}}}{\sin{\left(7 x \right)}},\frac{15 x^{4} e^{5 x} e^{x^{3}}}{\sin{\left(7 x \right)}} + \frac{25 x^{2} e^{5 x} e^{x^{3}}}{\sin{\left(7 x \right)}} - \frac{35 x^{2} e^{5 x} e^{x^{3}} \cos{\left(7 x \right)}}{\sin^{2}{\left(7 x \right)}} + \frac{10 x e^{5 x} e^{x^{3}}}{\sin{\left(7 x \right)}}
2 x \log{\left(- 10 x^{3} \right)},2 \log{\left(- 10 x^{3} \right)} + 6
\frac{4}{\cos{\left(10 x \right)}},\frac{40 \sin{\left(10 x \right)}}{\cos^{2}{\left(10 x \right)}}
- 12 x^{2} \log{\left(4 x^{3} \right)},- 24 x \log{\left(4 x^{3} \right)} - 36 x
- 10 x^{2} e^{10 x^{2}} \cos{\left(7 x^{3} \right)},210 x^{4} e^{10 x^{2}} \sin{\left(7 x^{3} \right)} - 200 x^{3} e^{10 x^{2}} \cos{\left(7 x^{3} \right)} - 20 x e^{10 x^{2}} \cos{\left(7 x^{3} \right)}
\frac{7 x}{\log{\left(3 x \right)}},\frac{7}{\log{\left(3 x \right)}} - \frac{7}{\log{\left(3 x \right)}^{2}}
0,0
\frac{9 x^{3} e^{- 3 x} \cos{\left(3 x \right)}}{\sin{\left(7 x \right)}},- \frac{27 x^{3} e^{- 3 x} \sin{\left(3 x \right)}}{\sin{\left(7 x \right)}} - \frac{27 x^{3} e^{- 3 x} \cos{\left(3 x \right)}}{\sin{\left(7 x \right)}} - \frac{63 x^{3} e^{- 3 x} \cos{\left(3 x \right)} \cos{\left(7 x \right)}}{\sin^{2}{\left(7 x \right)}} + \frac{27 x^{2} e^{- 3 x} \cos{\left(3 x \right)}}{\sin{\left(7 x \right)}}
- \frac{7 \cos{\left(5 x \right)}}{x^{2}},\frac{35 \sin{\left(5 x \right)}}{x^{2}} + \frac{14 \cos{\left(5 x \right)}}{x^{3}}
- \frac{5 x^{3}}{\cos{\left(x^{3} \right)}},- \frac{15 x^{5} \sin{\left(x^{3} \right)}}{\cos^{2}{\left(x^{3} \right)}} - \frac{15 x^{2}}{\cos{\left(x^{3} \right)}}
- \frac{e^{- 8 x} \log{\left(4 x \right)} \sin{\left(2 x \right)}}{\cos{\left(3 x^{2} \right)}},- \frac{6 x e^{- 8 x} \log{\left(4 x \right)} \sin{\left(2 x \right)} \sin{\left(3 x^{2} \right)}}{\cos^{2}{\left(3 x^{2} \right)}} + \frac{8 e^{- 8 x} \log{\left(4 x \right)} \sin{\left(2 x \right)}}{\cos{\left(3 x^{2} \right)}} - \frac{2 e^{- 8 x} \log{\left(4 x \right)} \cos{\left(2 x \right)}}{\cos{\left(3 x^{2} \right)}} - \frac{e^{- 8 x} \sin{\left(2 x \right)}}{x \cos{\left(3 x^{2} \right)}}
10 x^{3} \sin{\left(3 x^{2} \right)} \cos{\left(3 x^{3} \right)},- 90 x^{5} \sin{\left(3 x^{2} \right)} \sin{\left(3 x^{3} \right)} + 60 x^{4} \cos{\left(3 x^{2} \right)} \cos{\left(3 x^{3} \right)} + 30 x^{2} \sin{\left(3 x^{2} \right)} \cos{\left(3 x^{3} \right)}
0,0
- \frac{6 x^{6}}{\cos{\left(7 x^{2} \right)}},- \frac{84 x^{7} \sin{\left(7 x^{2} \right)}}{\cos^{2}{\left(7 x^{2} \right)}} - \frac{36 x^{5}}{\cos{\left(7 x^{2} \right)}}
\frac{3 x e^{2 x^{3}}}{5 \cos{\left(x \right)}},\frac{18 x^{3} e^{2 x^{3}}}{5 \cos{\left(x \right)}} + \frac{3 x e^{2 x^{3}} \sin{\left(x \right)}}{5 \cos^{2}{\left(x \right)}} + \frac{3 e^{2 x^{3}}}{5 \cos{\left(x \right)}}
\frac{e^{- x}}{72 x},- \frac{e^{- x}}{72 x} - \frac{e^{- x}}{72 x^{2}}
- 6 x^{3} \log{\left(- 10 x^{2} \right)},- 18 x^{2} \log{\left(- 10 x^{2} \right)} - 12 x^{2}
- \frac{e^{5 x^{2}} \sin{\left(x^{3} \right)}}{\cos{\left(10 x^{2} \right)}},- \frac{3 x^{2} e^{5 x^{2}} \cos{\left(x^{3} \right)}}{\cos{\left(10 x^{2} \right)}} - \frac{20 x e^{5 x^{2}} \sin{\left(10 x^{2} \right)} \sin{\left(x^{3} \right)}}{\cos^{2}{\left(10 x^{2} \right)}} - \frac{10 x e^{5 x^{2}} \sin{\left(x^{3} \right)}}{\cos{\left(10 x^{2} \right)}}
- \frac{\sin{\left(3 x^{2} \right)}}{2 x},- 3 \cos{\left(3 x^{2} \right)} + \frac{\sin{\left(3 x^{2} \right)}}{2 x^{2}}
- \frac{3 e^{7 x}}{8 \log{\left(- 6 x^{3} \right)}},- \frac{21 e^{7 x}}{8 \log{\left(- 6 x^{3} \right)}} + \frac{9 e^{7 x}}{8 x \log{\left(- 6 x^{3} \right)}^{2}}
\frac{2 x}{5},\frac{2}{5}
- \frac{8 x^{3} \log{\left(- 4 x^{2} \right)}}{7},- \frac{24 x^{2} \log{\left(- 4 x^{2} \right)}}{7} - \frac{16 x^{2}}{7}
- 6 x^{3},- 18 x^{2}
\frac{3 x^{2} e^{- 3 x}}{\sin{\left(3 x^{2} \right)}},- \frac{18 x^{3} e^{- 3 x} \cos{\left(3 x^{2} \right)}}{\sin^{2}{\left(3 x^{2} \right)}} - \frac{9 x^{2} e^{- 3 x}}{\sin{\left(3 x^{2} \right)}} + \frac{6 x e^{- 3 x}}{\sin{\left(3 x^{2} \right)}}
9 x^{3} \log{\left(- 9 x^{2} \right)},27 x^{2} \log{\left(- 9 x^{2} \right)} + 18 x^{2}
9 x e^{9 x^{2}} \sin{\left(6 x^{2} \right)},162 x^{2} e^{9 x^{2}} \sin{\left(6 x^{2} \right)} + 108 x^{2} e^{9 x^{2}} \cos{\left(6 x^{2} \right)} + 9 e^{9 x^{2}} \sin{\left(6 x^{2} \right)}
6 x \cos{\left(7 x^{3} \right)},- 126 x^{3} \sin{\left(7 x^{3} \right)} + 6 \cos{\left(7 x^{3} \right)}
10 x \log{\left(10 x^{2} \right)},10 \log{\left(10 x^{2} \right)} + 20
- \sin{\left(8 x \right)} \cos{\left(6 x \right)},6 \sin{\left(6 x \right)} \sin{\left(8 x \right)} - 8 \cos{\left(6 x \right)} \cos{\left(8 x \right)}
- 10 x^{3} e^{- 2 x} \cos{\left(2 x^{2} \right)},40 x^{4} e^{- 2 x} \sin{\left(2 x^{2} \right)} + 20 x^{3} e^{- 2 x} \cos{\left(2 x^{2} \right)} - 30 x^{2} e^{- 2 x} \cos{\left(2 x^{2} \right)}
\frac{9 x}{\log{\left(6 x^{3} \right)}},\frac{9}{\log{\left(6 x^{3} \right)}} - \frac{27}{\log{\left(6 x^{3} \right)}^{2}}
- \frac{7 x^{6} \sin{\left(3 x^{2} \right)}}{\log{\left(2 x^{2} \right)}},- \frac{42 x^{7} \cos{\left(3 x^{2} \right)}}{\log{\left(2 x^{2} \right)}} - \frac{42 x^{5} \sin{\left(3 x^{2} \right)}}{\log{\left(2 x^{2} \right)}} + \frac{14 x^{5} \sin{\left(3 x^{2} \right)}}{\log{\left(2 x^{2} \right)}^{2}}
- \frac{2 \cos{\left(4 x^{2} \right)}}{9 x^{2} \log{\left(- 9 x^{2} \right)}},\frac{16 \sin{\left(4 x^{2} \right)}}{9 x \log{\left(- 9 x^{2} \right)}} + \frac{4 \cos{\left(4 x^{2} \right)}}{9 x^{3} \log{\left(- 9 x^{2} \right)}} + \frac{4 \cos{\left(4 x^{2} \right)}}{9 x^{3} \log{\left(- 9 x^{2} \right)}^{2}}
\frac{e^{4 x^{3}} \cos{\left(6 x^{2} \right)}}{x^{2}},12 e^{4 x^{3}} \cos{\left(6 x^{2} \right)} - \frac{12 e^{4 x^{3}} \sin{\left(6 x^{2} \right)}}{x} - \frac{2 e^{4 x^{3}} \cos{\left(6 x^{2} \right)}}{x^{3}}
- \frac{15 x^{2} e^{9 x^{3}}}{4},- \frac{405 x^{4} e^{9 x^{3}}}{4} - \frac{15 x e^{9 x^{3}}}{2}
- \frac{\sin{\left(5 x \right)}}{5 x^{3}},- \frac{\cos{\left(5 x \right)}}{x^{3}} + \frac{3 \sin{\left(5 x \right)}}{5 x^{4}}
e^{3 x} \log{\left(- 3 x \right)},3 e^{3 x} \log{\left(- 3 x \right)} + \frac{e^{3 x}}{x}
- \frac{8 x^{2}}{\cos{\left(9 x^{3} \right)}},- \frac{216 x^{4} \sin{\left(9 x^{3} \right)}}{\cos^{2}{\left(9 x^{3} \right)}} - \frac{16 x}{\cos{\left(9 x^{3} \right)}}
- \frac{\cos{\left(4 x^{2} \right)}}{4 x^{2}},\frac{2 \sin{\left(4 x^{2} \right)}}{x} + \frac{\cos{\left(4 x^{2} \right)}}{2 x^{3}}
\frac{e^{- 9 x} \cos{\left(x \right)}}{\sin{\left(3 x^{3} \right)} \cos{\left(8 x \right)}},- \frac{9 x^{2} e^{- 9 x} \cos{\left(x \right)} \cos{\left(3 x^{3} \right)}}{\sin^{2}{\left(3 x^{3} \right)} \cos{\left(8 x \right)}} - \frac{e^{- 9 x} \sin{\left(x \right)}}{\sin{\left(3 x^{3} \right)} \cos{\left(8 x \right)}} + \frac{8 e^{- 9 x} \sin{\left(8 x \right)} \cos{\left(x \right)}}{\sin{\left(3 x^{3} \right)} \cos^{2}{\left(8 x \right)}} - \frac{9 e^{- 9 x} \cos{\left(x \right)}}{\sin{\left(3 x^{3} \right)} \cos{\left(8 x \right)}}
- \frac{5 x^{2}}{2},- 5 x
\frac{4 x^{2} \sin{\left(9 x^{3} \right)}}{\cos{\left(8 x^{3} \right)}},\frac{96 x^{4} \sin{\left(8 x^{3} \right)} \sin{\left(9 x^{3} \right)}}{\cos^{2}{\left(8 x^{3} \right)}} + \frac{108 x^{4} \cos{\left(9 x^{3} \right)}}{\cos{\left(8 x^{3} \right)}} + \frac{8 x \sin{\left(9 x^{3} \right)}}{\cos{\left(8 x^{3} \right)}}
- \frac{e^{5 x}}{10 x},- \frac{e^{5 x}}{2 x} + \frac{e^{5 x}}{10 x^{2}}
e^{x} e^{8 x^{3}} \sin{\left(2 x^{3} \right)},24 x^{2} e^{x} e^{8 x^{3}} \sin{\left(2 x^{3} \right)} + 6 x^{2} e^{x} e^{8 x^{3}} \cos{\left(2 x^{3} \right)} + e^{x} e^{8 x^{3}} \sin{\left(2 x^{3} \right)}
\frac{10 e^{9 x} e^{- 3 x^{2}}}{9},- \frac{20 x e^{9 x} e^{- 3 x^{2}}}{3} + 10 e^{9 x} e^{- 3 x^{2}}
- \log{\left(3 x^{3} \right)} \sin{\left(6 x^{2} \right)},- 12 x \log{\left(3 x^{3} \right)} \cos{\left(6 x^{2} \right)} - \frac{3 \sin{\left(6 x^{2} \right)}}{x}
- \frac{2}{x \sin{\left(3 x \right)}},\frac{6 \cos{\left(3 x \right)}}{x \sin^{2}{\left(3 x \right)}} + \frac{2}{x^{2} \sin{\left(3 x \right)}}
- \frac{20 x^{3} \log{\left(7 x \right)}}{3},- 20 x^{2} \log{\left(7 x \right)} - \frac{20 x^{2}}{3}
\frac{1}{\cos{\left(3 x \right)}},\frac{3 \sin{\left(3 x \right)}}{\cos^{2}{\left(3 x \right)}}
\frac{e^{6 x^{2}} \sin{\left(3 x \right)} \sin{\left(7 x^{3} \right)}}{9 x^{2}},\frac{7 e^{6 x^{2}} \sin{\left(3 x \right)} \cos{\left(7 x^{3} \right)}}{3} + \frac{4 e^{6 x^{2}} \sin{\left(3 x \right)} \sin{\left(7 x^{3} \right)}}{3 x} + \frac{e^{6 x^{2}} \sin{\left(7 x^{3} \right)} \cos{\left(3 x \right)}}{3 x^{2}} - \frac{2 e^{6 x^{2}} \sin{\left(3 x \right)} \sin{\left(7 x^{3} \right)}}{9 x^{3}}
- \frac{x^{3} \sin{\left(2 x^{2} \right)}}{\log{\left(- 8 x^{2} \right)}},- \frac{4 x^{4} \cos{\left(2 x^{2} \right)}}{\log{\left(- 8 x^{2} \right)}} - \frac{3 x^{2} \sin{\left(2 x^{2} \right)}}{\log{\left(- 8 x^{2} \right)}} + \frac{2 x^{2} \sin{\left(2 x^{2} \right)}}{\log{\left(- 8 x^{2} \right)}^{2}}
\frac{\sin{\left(7 x^{3} \right)}}{6 x^{3} \cos{\left(2 x \right)}},\frac{7 \cos{\left(7 x^{3} \right)}}{2 x \cos{\left(2 x \right)}} + \frac{\sin{\left(2 x \right)} \sin{\left(7 x^{3} \right)}}{3 x^{3} \cos^{2}{\left(2 x \right)}} - \frac{\sin{\left(7 x^{3} \right)}}{2 x^{4} \cos{\left(2 x \right)}}
- \frac{5 \log{\left(- 6 x \right)} \sin{\left(10 x^{2} \right)}}{2 x^{2}},- \frac{50 \log{\left(- 6 x \right)} \cos{\left(10 x^{2} \right)}}{x} + \frac{5 \log{\left(- 6 x \right)} \sin{\left(10 x^{2} \right)}}{x^{3}} - \frac{5 \sin{\left(10 x^{2} \right)}}{2 x^{3}}
- \frac{90 x^{4}}{\cos{\left(4 x \right)}},- \frac{360 x^{4} \sin{\left(4 x \right)}}{\cos^{2}{\left(4 x \right)}} - \frac{360 x^{3}}{\cos{\left(4 x \right)}}
- \frac{10 e^{3 x^{3}}}{9 \sin{\left(2 x^{3} \right)}},- \frac{10 x^{2} e^{3 x^{3}}}{\sin{\left(2 x^{3} \right)}} + \frac{20 x^{2} e^{3 x^{3}} \cos{\left(2 x^{3} \right)}}{3 \sin^{2}{\left(2 x^{3} \right)}}
- 135 x^{9},- 1215 x^{8}
e^{- 2 x},- 2 e^{- 2 x}
- \frac{x \sin{\left(2 x^{3} \right)}}{8},- \frac{3 x^{3} \cos{\left(2 x^{3} \right)}}{4} - \frac{\sin{\left(2 x^{3} \right)}}{8}
\frac{e^{9 x^{3}} \log{\left(5 x^{3} \right)}}{9 x^{3}},\frac{3 e^{9 x^{3}} \log{\left(5 x^{3} \right)}}{x} - \frac{e^{9 x^{3}} \log{\left(5 x^{3} \right)}}{3 x^{4}} + \frac{e^{9 x^{3}}}{3 x^{4}}
- 2 x^{2} \cos{\left(5 x \right)},10 x^{2} \sin{\left(5 x \right)} - 4 x \cos{\left(5 x \right)}
- \frac{9 x^{3} \sin{\left(10 x \right)}}{\log{\left(10 x \right)} \cos{\left(8 x^{2} \right)}},- \frac{144 x^{4} \sin{\left(10 x \right)} \sin{\left(8 x^{2} \right)}}{\log{\left(10 x \right)} \cos^{2}{\left(8 x^{2} \right)}} - \frac{90 x^{3} \cos{\left(10 x \right)}}{\log{\left(10 x \right)} \cos{\left(8 x^{2} \right)}} - \frac{27 x^{2} \sin{\left(10 x \right)}}{\log{\left(10 x \right)} \cos{\left(8 x^{2} \right)}} + \frac{9 x^{2} \sin{\left(10 x \right)}}{\log{\left(10 x \right)}^{2} \cos{\left(8 x^{2} \right)}}
\frac{4 x e^{- 9 x^{3}}}{7 \cos{\left(7 x^{3} \right)}},\frac{12 x^{3} e^{- 9 x^{3}} \sin{\left(7 x^{3} \right)}}{\cos^{2}{\left(7 x^{3} \right)}} - \frac{108 x^{3} e^{- 9 x^{3}}}{7 \cos{\left(7 x^{3} \right)}} + \frac{4 e^{- 9 x^{3}}}{7 \cos{\left(7 x^{3} \right)}}
- 2 x^{2},- 4 x
\frac{5 e^{7 x^{3}} \sin{\left(9 x^{2} \right)}}{3 x^{2}},35 e^{7 x^{3}} \sin{\left(9 x^{2} \right)} + \frac{30 e^{7 x^{3}} \cos{\left(9 x^{2} \right)}}{x} - \frac{10 e^{7 x^{3}} \sin{\left(9 x^{2} \right)}}{3 x^{3}}
\frac{27 x^{5} \sin{\left(6 x^{2} \right)}}{\sin{\left(7 x^{3} \right)}},- \frac{567 x^{7} \sin{\left(6 x^{2} \right)} \cos{\left(7 x^{3} \right)}}{\sin^{2}{\left(7 x^{3} \right)}} + \frac{324 x^{6} \cos{\left(6 x^{2} \right)}}{\sin{\left(7 x^{3} \right)}} + \frac{135 x^{4} \sin{\left(6 x^{2} \right)}}{\sin{\left(7 x^{3} \right)}}
- \frac{4 x^{4}}{\log{\left(- 3 x^{2} \right)}},- \frac{16 x^{3}}{\log{\left(- 3 x^{2} \right)}} + \frac{8 x^{3}}{\log{\left(- 3 x^{2} \right)}^{2}}
\frac{6 x e^{- 3 x^{3}} \cos{\left(3 x \right)}}{\log{\left(10 x^{2} \right)}},- \frac{54 x^{3} e^{- 3 x^{3}} \cos{\left(3 x \right)}}{\log{\left(10 x^{2} \right)}} - \frac{18 x e^{- 3 x^{3}} \sin{\left(3 x \right)}}{\log{\left(10 x^{2} \right)}} + \frac{6 e^{- 3 x^{3}} \cos{\left(3 x \right)}}{\log{\left(10 x^{2} \right)}} - \frac{12 e^{- 3 x^{3}} \cos{\left(3 x \right)}}{\log{\left(10 x^{2} \right)}^{2}}
- 48 x^{3},- 144 x^{2}
3 x^{2} \sin{\left(4 x \right)},12 x^{2} \cos{\left(4 x \right)} + 6 x \sin{\left(4 x \right)}
- \frac{\cos{\left(9 x^{2} \right)}}{8 x},\frac{9 \sin{\left(9 x^{2} \right)}}{4} + \frac{\cos{\left(9 x^{2} \right)}}{8 x^{2}}
- \frac{e^{- 6 x^{2}}}{7 x^{2} \sin{\left(8 x^{3} \right)}},\frac{24 e^{- 6 x^{2}} \cos{\left(8 x^{3} \right)}}{7 \sin^{2}{\left(8 x^{3} \right)}} + \frac{12 e^{- 6 x^{2}}}{7 x \sin{\left(8 x^{3} \right)}} + \frac{2 e^{- 6 x^{2}}}{7 x^{3} \sin{\left(8 x^{3} \right)}}
- 9 x^{5} \sin{\left(6 x^{3} \right)},- 162 x^{7} \cos{\left(6 x^{3} \right)} - 45 x^{4} \sin{\left(6 x^{3} \right)}
\frac{112 x^{2}}{5},\frac{224 x}{5}
6 x^{3},18 x^{2}
- \frac{10 x^{2}}{3},- \frac{20 x}{3}
